FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_LENGTH,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,SALARY_START,SALARY_END,ENTRY_SALARY_DWP,REQUIREMENTS,APPLICATION_DEADLINE,OPEN_DATE,SALARY_START_NUM,SALARY_END_NUM,OPEN_YEAR,OPEN_MONTH,EXP_NUM
SENIOR ANIMAL KEEPER 4305 022616.txt,SENIOR ANIMAL KEEPER,4305,,,"A Senior Animal Keeper assigns, reviews and evaluates the work of employees engaged in caring for exotic mammals, birds, venomous and non-venomous reptiles, and amphibians at the Los Angeles Zoo; performs the more difficult and responsible work in caring for animals; maintains the exhibit premises in a clean and aesthetically pleasing manner; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,R,,INT_DEPT_PROM,"$48,964","$69,656",,,"THURSDAYMARCH 10, 2016",02-26-16,48964.0,69656.0,2016,2,0
AIRPORT GUIDE 0845 042018.txt,AIRPORT GUIDE,0845,,,An Airport Guide directs arriving passengers to appropriate lines or locations in and around airport facilities; assists passengers in the completion of necessary paperwork; assists with foreign language translations; provides a wide range of airport/airline information to passengers; transports elected officials to various locations on airport property; conducts visitor tours; organizes and hosts special events; serves as museum docent; represents LAWA to the public; assists responding agencies during airport emergencies; may plan and supervise the work of other Airport Guides; and does related work.,,high school,,,,,,"in a position providing customer service at an airport or other transportation-related venues such as bus terminals, train stations, and port facilities for at least 12 consecutive months",,P,,OPEN,"$31,946","$44,265",,"1,040 hours of paid or volunteer experience in a position providing customer service at an airport or other transportation-related venues such as bus terminals, train stations, and port facilities for at least 12 consecutive months.

A high school diploma is desired.","THURSDAYMAY 3, 2018",,31946.0,44265.0,,,0
LAND SURVEYING ASSISTANT 7283 120817.txt,LAND SURVEYING ASSISTANT,7283,1,,"A Land Surveying Assistant sets up and operates total stations, levels, theodolites, electronic distance measuring devices, Global Positioning System (GPS) equipment, data collectors, hydrographic equipment, and other survey instruments to secure data pertaining to lines, corners, elevations, grades, curves, alignments, positions, and water depths; makes field notes, sketches, and computer maps; performs computations, processes data; and may act as a Survey Party Chief when needed.",,college,member of a field survey party or field crew,one year,full-time,,,as a member of a field survey party or field crew;,,P,,OPEN_INT_PROM,"$66,440","$97,133","$85,858 to $106,675","1. Graduation from an accredited college or university with a degree in engineering or surveying and one year of full-time paid experience as a member of a field survey party or field crew; or
2. Four years of full-time paid experience as a Field Engineering Aide, or as a member of a field survey party performing sub-professional land surveying work in making precise readings, measurements, and tests in the field.","THURSDAYDECEMBER 21, 2017",12-08-17,66440.0,97133.0,2017,12,1
TRAFFIC OFFICER 3214 040116.txt,TRAFFIC OFFICER,3214,,,"A Traffic Officer patrols an assigned area on foot, bicycle, or in a vehicle to enforce motor vehicle parking regulations; issues warnings or citations for illegal parking by entering information into a hand-held computer; impounds vehicles; and directs vehicular and pedestrian traffic at a specific intersection or other specified location.

Traffic Officers at the highest pay grade will be expected to direct vehicular and pedestrian traffic on a daily basis at various assigned locations. They may provide the initial field training to new Traffic Officers on a temporary short-term basis, and may serve as acting, on-site supervisors on a temporary short-term basis.

Traffic Officers may be assigned to work any work shift, including weekends and holidays, and may be assigned to work in any geographic location in the City of Los Angeles. Work must be performed outdoors in all weather conditions. Work shifts may also be extended in emergency situations.",,,,,,,,,,R,,OPEN,"$45,017","$48,838",,,"TUESDAYAPRIL 12, 2016, UNTIL THURSDAY, APRIL 14, 2016, AT 11:59",04-01-16,45017.0,48838.0,2016,4,0
BLACKSMITH 3733 082517 REV 090717.txt,BLACKSMITH,3733,1,,"A blacksmith forges, shapes, forms, bends, cuts, grinds, welds, tempers, and heat-treats metals in the fabrication and repair of tools, equipment, and metal products.",,apprentice,blacksmith,Five years,full-time,,,as a helper to a blacksmith,,R,,OPEN_INT_PROM,"$83,352",flat-rated,"$76,608 to $95,191","1. Completion of an apprenticeship as a blacksmith; or
2. Attainment of journey-level rank as a blacksmith; or
3. Five years of full-time paid experience as a helper to a blacksmith.","THURSDAYSEPTEMBER 14, 2017",08-25-17,83352.0,83352.0,2017,8,5
SAFETY ENGINEERING ASSOCIATE 1726 052518.txt,SAFETY ENGINEERING ASSOCIATE,1726,1,,A Safety Engineering Associate assists in administering a program for employee safety and accident prevention for a City department or several departments.,four-year,college,"occupational health science, health and safety studies or a closely related field",one year,full-time,,,"in the enforcement of Federal OSHA, CAL/OSHA or any state OSHA regulations which includes facility or field inspections and the development of safety programs",,R,,OPEN,"$74,623","$90,222","$92,978 to $115,508","1. Graduation from an accredited four-year college or university with a Bachelor's Degree or Master's Degree in occupational health science, health and safety studies or a closely related field; or
2. Graduation from an accredited four-year college or university and one year of full-time paid professional safety experience in the enforcement of Federal OSHA, CAL/OSHA or any state OSHA regulations which includes facility or field inspections and the development of safety programs.","THURSDAYJUNE 7, 2018",05-25-18,74623.0,90222.0,2018,5,1
ELECTRICAL TESTER 7512 102816.txt,ELECTRICAL TESTER,7512,1,,"An entry-level Electrical Tester receives intensive classroom and on-the-job instruction and training. The trainee is supervised by a Senior Electrical Tester and works as a trainee assisting journey-level electrical workers within the Testing Laboratories in the performance of diagnostic tests, calibration, repair, maintenance, and adjustments on: high and low voltage electrical circuits, equipment and related material; meters, smart-grid systems, conventional and renewable generation resources, control circuits, instruments, relays and related equipment and materials; new locations; and performs related duties. A journey-level Electrical Tester: performs routine calibration tests of meters; makes routine electrical tests of material; assists in testing more complex electric instruments and equipment; tests and replaces electric meters, control and protective relays, instruments, transformers, and other equipment and materials; performs cathodic protection in underground and abovehead structures; performs infrared inspection of high voltage overhead distribution systems; and builds and test circuit boards, removes or replaces components, and tests communication levels, in regard to facility/substation Supervisory Control and Data Acquisition (SCADA) systems, Remote Terminal Units (RTU), and other control systems. Journey-level Electrical Testers may also: lead a group of employees engaged in field or laboratory electrical testing; perform the more difficult and advanced functions of electrical testing; and perform related duties.",,college,"physics, chemistry, electricity, or electronics",Six months,full-time,,,"and current employment as a helper or trainee for a utility performing work on equipment and circuits, construction and maintenance;",,R,,OPEN,"$54,079","$67,170",,"1. Six months of full-time paid experience and current employment as a helper or trainee for a utility performing work on equipment and circuits, construction and maintenance; or
2.	Completion of eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power; or
3.	Successful completion of three semester units or four quarter units from an accredited college or university or trade school in physics, chemistry, electricity, or electronics; or 
4.	Successful completion of the Pre-Electrical Craft Helper training course presented by the Los Angeles Trade Technical College; or
5.	Six months of full-time experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems while in the United States Armed Forces.","SUNDAYJANUARY 8, 2017",10-28-16,54079.0,67170.0,2016,10,0.5
FIRE PROTECTION ENGINEERING ASSOCIATE 7978 041318.txt,FIRE PROTECTION ENGINEERING ASSOCIATE,7978,1,,"A Fire Protection Engineering Associate performs professional engineering work in the application of engineering principles to problems of safeguarding life and property against loss from fire, explosions and related hazards; applies state and local regulations to guard against hazardous material and toxic chemical releases; conducts fire and life safety reviews of building plans and field inspections for new construction projects.",four-year,college,engineering,,,,,,,P,,OPEN,"$66,231","$96,841",,"1. Graduation from an accredited four-year college or university with a degree in engineering; or
2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","THURSDAYAPRIL 26, 2018",04-13-18,66231.0,96841.0,2018,4,0
LABOR SUPERVISOR 3126 121815.txt,LABOR SUPERVISOR,3126,,,"A Labor Supervisor assigns, reviews and evaluates the work of a labor crew that may consist of helpers, laborers, semiskilled workers and equipment operators, and other employees engaged in various construction, maintenance, and repair projects, and other related duties; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills Equal Employment Opportunity responsibilities; and maintains written records as requested.",,,,,,,,,,P,,INT_DEPT_PROM,"$44,474","$65,020","$63,287 to $97,822",,"THURSDAYDECEMBER 31, 2015",12-18-15,44474.0,65020.0,2015,12,0
ARCHIVIST 1191 020918.txt,ARCHIVIST,1191,1,,"An Archivist performs professional archival work in appraising, analyzing, classifying, describing, preserving and providing reference service from historic documents and manuscripts; implements systems, standards and procedures for maintaining, retrieving, protecting and preserving historical records; prepares finding aids to make archival materials accessible to the public; and does related work.",four-year,college,,two years,full-time,,,"which include the responsibility for identifying, analyzing, classifying and indexing historical records for archival storage",30 semester or 45 quarter units,,,OPEN,"$57,273","$83,728",,"1. A bachelor's degree from an accredited four-year college or university, and two years of full-time paid archival experience which include the responsibility for identifying, analyzing, classifying and indexing historical records for archival storage.

Experience of the above type may be substituted for education lacking on a year for year basis up to a maximum of two years (NOTE: 30 semester or 45 quarter units = 1 year of education).","THURSDAYFEBRUARY 22, 2018",02-09-18,57273.0,83728.0,2018,2,2
DIRECTOR OF PORT CONSTRUCTION AND MAINTENANCE 3123 030416.txt,DIRECTOR OF PORT CONSTRUCTION AND MAINTENANCE,3123,,,"A Director of Port Construction and Maintenance plans, organizes and directs the work of a high-performing, professional, technical and trade-oriented staff engaged in maintenance, repair, construction and rehabilitation of marine-related facilities, equipment and infrastructure within the Port of Los Angeles, applies sound managerial principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,R,,OPEN_INT_PROM,"$108,576","$154,512",,,"THURSDAYMARCH 17, 2016",03-04-16,108576.0,154512.0,2016,3,0
PROPERTY MANAGER 1964 090916 (1).txt,PROPERTY MANAGER,1964,1,,"A Property Manager plans and directs, or assists in planning and directing a comprehensive program of real property acquisition, sale, leasing, development (which may include pre-development and redevelopment), appraisal, and property management in a department.",,,,Two years,full-time,,,"in a class at the level of Senior Real Estate Officer with the City of Los Angeles performing duties in the appraisal, acquisition, sale, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial or watershed property; or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions;",,P,,OPEN_INT_PROM,"$95,088","$135,282","$112,543 to $139,833","1. Two years of full-time paid experience in a class at the level of Senior Real Estate Officer with the City of Los Angeles performing duties in the appraisal, acquisition, sale, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial or watershed property; or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions; or
2. Four years of full-time paid experience in a class at the level of Real Estate Officer with the City of Los Angeles performing duties in the appraisal, acquisition, sale, leasing, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial or watershed property; or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions; or
3. Five years of full-time paid experience performing duties in the appraisal, acquisition, sale, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial, or watershed property or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions. Two of the required five years of experience must be in a supervisory capacity managing a staff engaged in related activities.","THURSDAYSEPTEMBER 22, 2016",09-09-16,95088.0,135282.0,2016,9,2
VIDEO PRODUCTION COORDINATOR 1802 012717.txt,VIDEO PRODUCTION COORDINATOR,1802,,,"A Video Production Coordinator performs a combination of production and administrative tasks related to planning, organizing, and coordinating municipal productions and operations; coordinates the development of video productions for use in public presentations, community meetings, theaters, live events, public exhibits, school programming, on the web and in social media; schedules and coordinates requests for production, editing, translation and closed captioning; serves as producer, associate producer, director, post production supervisor, and scriptwriter for municipal projects; assists in the recruitment, evaluation, and selection of contractors; develops the plan, schedule, and budget for a wide range of video productions; may also shoot, edit, and produce videos, and tailor video content for social media; and does related work.",,college,,Three years,full-time,,,"in video production coordination, including shooting, editing, and producing video, and performing general administrative work",60 semester or 90 quarter units from an accredited college or university with successful completion of at least 12 semester or 18 quarter units,P,,OPEN,"$52,951","$77,402",,"Three years of full-time paid experience in video production coordination, including shooting, editing, and producing video, and performing general administrative work.

Completion of 60 semester or 90 quarter units from an accredited college or university with successful completion of at least 12 semester or 18 quarter units in Communications or a closely related field may substitute for one year of the required experience.","THURSDAYFEBRUARY 9, 2017",01-27-17,52951.0,77402.0,2017,1,3
CLAIMS AGENT 1767 020317.txt,CLAIMS AGENT,1767,,,"A Claims Agent plans, organizes, directs, reviews, evaluates, and supervises the work of Senior Claims Representatives engaged in investing accidents, third party personal injury, and property damage claims involving the Department of Water and Power, or assists with the above work; supervises investigators and associated clerical staff; negotiates settlement claims; assists Department attorneys in litigation cases; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,as a Senior Claims Representative or in a class at that level which provides experience in the investigation of personal injury and property damage accidents and claims involving possible liability on the part of the City for damage incurred by citizens or other agencies,,R,,INT_DEPT_PROM,"$106,801","$112,752",,Two years of full-time paid experience as a Senior Claims Representative or in a class at that level which provides experience in the investigation of personal injury and property damage accidents and claims involving possible liability on the part of the City for damage incurred by citizens or other agencies.,"THURSDAYFEBRUARY 16, 2017",02-03-17,106801.0,112752.0,2017,2,2
SENIOR EQUIPMENT MECHANIC 3712 010518 REV 080718.txt,SENIOR EQUIPMENT MECHANIC,3712,,,A Senior Equipment Mechanic acts as a lead for and works with a small group of Equipment Mechanics and other employees engaged in the maintenance and repair of transportation equipment.,,,,Two years,full-time,,,"as a journey-level Equipment Mechanic, Heavy Duty Equipment Mechanic, or Auto Electrician",,P,B,INT_DEPT_PROM,"$83,337",flat-rated,"$98,073","Two years of full-time paid experience as a journey-level Equipment Mechanic, Heavy Duty Equipment Mechanic, or Auto Electrician.",,01-05-18,83337.0,83337.0,2018,1,2
ASBESTOS SUPERVISOR 3440 012916.txt,ASBESTOS SUPERVISOR,3440,,,"An Asbestos Supervisor supervises crews of Asbestos Workers, other crafts, and helpers engaged in the removal, installation, and disposal of insulating materials from equipment or areas.  Supervises crews engaged in the containment, removal, and disposal of hazardous materials, such as asbestos and lead, from equipment or areas; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,P,,INT_DEPT_PROM,"$100,829",flat-rated,,,"THURSDAYFEBRUARY 11, 2016",01-29-16,100829.0,100829.0,2016,1,0
POLICE LIEUTENANT 2232 020918.txt,POLICE LIEUTENANT,2232,1,,"A Police Lieutenant plans, organizes, and directs the work of sworn and civilian employees engaged in the operation of an assigned watch or a 24-hour team in a police division or an investigational unit or detail; commands a specialized division or section; applies sound supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities and does related work.",,college,,,,,,"to the nearest full month, continuous service beginning on or before October 21, 2016 meets the two-year experience requirement.  Candidates must meet the experience requirement prior to appointment to Police Lieutenant",90 semester or 135 quarter units,,,T_PROM,"$125,572","$139,916",,"1. Two years as a Police Sergeant, Police Detective II, or Police Detective III in the Los Angeles Police Department (LAPD) by October 7, 2018, one year of which must have been in a supervisory capacity; and
2. Completion of 90 semester or 135 quarter units from an accredited college or university. 

Under the policy of rounding off experience to the nearest full month, continuous service beginning on or before October 21, 2016 meets the two-year experience requirement.  Candidates must meet the experience requirement prior to appointment to Police Lieutenant.","THURSDAYFEBRUARY 22, 2018",02-09-18,125572.0,139916.0,2018,2,0
FLEET SERVICES MANAGER 9103 042117.txt,FLEET SERVICES MANAGER,9103,1,,"A Fleet Services Manager plans, manages, and directs through subordinate supervisors the staffing, training, safety, dispatching, operating, repair, service, inspection, preventive maintenance, regulatory compliance, procurement of fleet vehicles equipment, parts, materials and supplies, fuel management, and related functions that result in the delivery of high products and services for a large fleet of transportation and construction equipment; applies sound management principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",,,,Three years,full-time,,,"with the City of Los Angeles as an Automotive Supervisor, Equipment Repair Supervisor, Truck and Equipment Dispatcher, Construction Equipment Service Supervisor, or Auto Body Repair Supervisor;",,P,,INT_DEPT_PROM,"$100,203","$124,507",,"1. Three years of full-time paid experience with the City of Los Angeles as an Automotive Supervisor, Equipment Repair Supervisor, Truck and Equipment Dispatcher, Construction Equipment Service Supervisor, or Auto Body Repair Supervisor; or
2. Four years of full-time paid experience in a position at the level of Automotive Supervisor which supervises employees engaged in the repair, maintenance, servicing, dispatching, procurement or the operation of a large fleet of transportation or construction equipment; or in a position supervising the procurement or management of fleet related fuel, materials and/or services directly supporting the operation of a large fleet of transportation and construction equipment.","THURSDAYMAY 4, 2017",04-21-17,100203.0,124507.0,2017,4,3
TREE SURGEON 3114 081916 REV 080818.txt,TREE SURGEON,3114,1,,"A Tree Surgeon climbs, prunes, trims, treats, sprays, plants, fertilizes, transplants and removes trees along City streets and highways, in City parks, over or on private property, and on public grounds to eliminate hazardous conditions; prevent interference with traffic, traffic signals and high and low voltage conductors and equipment; and to preserve and maintain the trees.",,,,One year,full-time,Tree Surgeon,,with the City of Los Angeles as a Tree Surgeon Assistant or in a class at that level performing tree trimming or treatment work;,,,,OPEN_INT_PROM,"$47,898","$70,052","$72,328 to $89,864","1. One year of full-time paid experience with the City of Los Angeles as a Tree Surgeon Assistant or in a class at that level performing tree trimming or treatment work; or
2. One year of full-time paid experience as a tree surgeon, which includes climbing trees using spurs, climbers, ropes and safety belts and using power saws, aerial lifts, power winches, booms or similar equipment.",,08-19-16,47898.0,70052.0,2016,8,1
CHIEF BUILDING OPERATING ENGINEER 5927 080516.txt,CHIEF BUILDING OPERATING ENGINEER,5927,,,"A Chief Building Operating Engineer plans, directs and coordinates through subordinate employees the operation and maintenance of building service equipment in several large buildings or in a central operating plant, maintains thorough records of operational costs, recommends operating improvements, prepares budget estimates and administrative reports, and may be responsible for operation of elevator and escalator equipment. A Chief Building Operating Engineer sets parameters for computerized building automation and fire/life safety systems and trains Building Operating Engineers in the use of the computerized systems.",,,,Two years,full-time,,,"as a Senior Building Operating Engineer or in a class at the level which includes experience in the operation and maintenance of centrifugal chillers, high pressure gas or oil fired boilers, HVAC related equipment and computerized building automation and fire/life safety systems",,P,,INT_DEPT_PROM,"$119,997",flat-rated,,"Two years of full-time paid experience as a Senior Building Operating Engineer or in a class at the level which includes experience in the operation and maintenance of centrifugal chillers, high pressure gas or oil fired boilers, HVAC related equipment and computerized building automation and fire/life safety systems.","THURSDAYAUGUST 18, 2016",08-05-16,119997.0,119997.0,2016,8,2
AQUATIC DIRECTOR 2419  082517 REV 0090717.txt,AQUATIC DIRECTOR,2419,1,,"An Aquatic Director plans, organizes, directs, and supervises the operation of a comprehensive aquatics program associated with public pools and open water facilities on a City-wide basis.",four-year,college,,Two years,full-time,,,"at the level of an Aquatic Facility Manager supervising lifeguards, overseeing and/or planning programs, working with community-based organizations, and ensuring public or patron safety",,R,,OPEN_INT_PROM,"$74,082","$89,596",,"1. Graduation from an accredited four-year college or university; and
2. Two years of full-time paid professional experience at the level of an Aquatic Facility Manager supervising lifeguards, overseeing and/or planning programs, working with community-based organizations, and ensuring public or patron safety.","THURSDAYSEPTEMBER 14, 2017",08-25-17,74082.0,89596.0,2017,8,2
